Sequence_ID	Category_1
WP_036800387 [Photobacterium marinum]	group1
VEH66120 [Rodentibacter pneumotropicus]	group6
WP_140915875 [Pantoea eucalypti]	group6
RKZ49955 [Gammaproteobacteria bacterium]	group3
OOO03434 [Chromatiales bacterium USCg_Taylor]	group3
KIQ68790 [Wenxinia marina DSM 24838]	group2
WP_093115753 [Salinihabitans flavidus]	group1
WP_084367464 [Rhizobium sp. RU36D]	group2
WP_012415540 [Elusimicrobium minutum Pei191]	group1
WP_126611574 [Azospirillum sp. L-25-5w-1]	group2
WP_006589672 [Bartonella birtlesii LL-WM9]	group2
OUT70946 [Planctomycetaceae bacterium TMED10]	group7
WP_007398966 [Komagataeibacter xylinus]	group6
WP_081805278 [Dyella marensis]	group3
WP_088068337 [Bacillus luciferensis]	group3
RYD54642 [Sphingobacteriales bacterium]	group5
WP_132971411 [Thiogranum longum]	group4
WP_129501275 [Candidatus Marinimicrobia bacterium]	group3
WP_077514843 [Rhodanobacter sp. B05]	group3
WP_036640349 [Paenirhodobacter enshiensis]	group7
WP_062403626 [Limnohabitans sp. 63ED37-2]	group6
WP_085795526 [Ruegeria litorea R37]	group5
TAM95356 [Rhizobiaceae bacterium]	group2
KGO33742 [Desulfobulbus sp. Tol-SR]	group1
WP_119764692 [Sphingomonas sp. K2R01-6]	group3
WP_052767330 [Luteibacter rhizovicinus]	group7
OLC67177 [Betaproteobacteria bacterium 13_1_40CM_4_64_4]	group3
WP_128731022 [Pseudoalteromonas sp. PS5]	group6
WP_028795488 [Thalassobaculum litoreum DSM 18839]	group4
OYZ37388 [Alphaproteobacteria bacterium 17-39-52]	group7
TMM23244 [Actinobacteria bacterium]	group7
WP_137794485 [Aquicoccus sp. SCR17]	group6
WP_136482716 [Vibrio sp. H11]	group2
REJ72865 [Planctomycetes bacterium]	group2
OGI47846 [Candidatus Muproteobacteria bacterium RBG_16_65_34]	group3
WP_129778809 [Steroidobacter sp. JW-3]	group1
WP_104801348 [Limnohabitans sp. TS-CS-82]	group7
WP_115138293 [Shewanella corallii]	group3
WP_101108072 [Psychromonas sp. psych-6C06]	group7
WP_012231767 [Bartonella tribocorum]	group2
OGT37271 [Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_38_14]	group2
PDH41340 [Candidatus Thioglobus sp. MED-G25]	group5
WP_083589748 [Aurantimonas sp. 22II-16-19i]	group1
WP_124945715 [Sulfurirhabdus autotrophica]	group3
WP_007090281 [Thalassospira xiamenensis M-5 = DSM 17429]	group7
WP_069341619 [Pandoraea sp. ISTKB]	group7
WP_077032502 [Sphingopyxis sp. QXT-31]	group7
WP_126463821 [Sulfuritortus calidifontis]	group6
AJP48038 [Rugosibacter aromaticivorans]	group1
KFI36434 [Peptococcaceae bacterium SCADC1_2_3]	group5
BBJ23753 [Candidatus Nitrotoga sp. AM1]	group1
PCJ95583 [Rhizobiales bacterium]	group1
WP_109703822 [Gammaproteobacteria bacterium ESL0073]	group4
PHX81501 [Thermoleophilia bacterium]	group2
WP_107230937 [Stenotrophomonas sp. Nf4]	group2
KPK40292 [Omnitrophica WOR_2 bacterium SM23_29]	group7
WP_004405113 [Vibrio nigripulchritudo]	group3
CDD09629 [Phascolarctobacterium succinatutens CAG:287]	group2
SIS98877 [Oleibacter marinus]	group7
WP_061780543 [Sphingomonas sanguinis]	group1
WP_083490100 [Stenotrophomonas daejeonensis]	group5
WP_039105689 [Frischella perrara]	group7
VEN75094 [uncultured Desulfobacteraceae bacterium]	group7
WP_091274519 [Alteribacillus persepolensis]	group5
RVU86253 [Leucothrix sp. C3212]	group6
TDI66679 [Alphaproteobacteria bacterium]	group1
TAL72462 [Rhodanobacter sp.]	group1
PYT15063 [Acidobacteria bacterium]	group2
WP_002691167 [Beggiatoa alba B18LD]	group4
RMH35193 [Acidobacteria bacterium]	group2
WP_073142974 [Chryseolinea serpens]	group5
OGQ73122 [Deltaproteobacteria bacterium RIFCSPLOWO2_12_55_13]	group7
WP_135051136 [Beijerinckiaceae bacterium]	group3
XP_029143785 [Arachis hypogaea]	group3
OYZ32115 [Sphingobacteriales bacterium 17-39-43]	group4
WP_128465272 [Geovibrio thiophilus]	group2
PIP99308 [Shewanella sp. CG_4_9_14_0_8_um_filter_42_14]	group2
WP_020175518 [Methyloferula stellata]	group2
KPD02561 [Moellerella wisconsensis ATCC 35017]	group4
WP_074652724 [Terriglobus roseus]	group7
SDU25930 [Pseudomonas guangdongensis]	group7
RLF59658 [Thermoplasmata archaeon]	group1
WP_101895992 [Ketobacter alkanivorans]	group3
PKP25410 [Bacteroidetes bacterium HGW-Bacteroidetes-2]	group4
WP_045835410 [Hyphomicrobium sp. 99]	group3
WP_007576970 [Patulibacter medicamentivorans]	group2
PCI21585 [Piscirickettsiaceae bacterium]	group2
WP_090596253 [Pelagibacterium luteolum]	group6
RJP89682 [Desulfobacteraceae bacterium]	group4
WP_026294034 [Saccharibacter floricola]	group2
WP_050518462 [Pseudorhodobacter antarcticus]	group3
WP_035488403 [Gammaproteobacteria bacterium MOLA455]	group4
WP_034334370 [Conchiformibius kuhniae]	group6
TRO95811 [Glycocaulis sp. ZYF765]	group4
WP_054461548 [Phaeobacter sp. 11ANDIMAR09]	group5
WP_112112983 [Flavobacterium aciduliphilum]	group6
WP_082892658 [Bacillus aquimaris]	group3
WP_126977124 [Burkholderiales bacterium CNM695-12]	group3
GDX42522 [Bacteroidetes bacterium]	group6
WP_049757887 [Shewanella amazonensis]	group5
WP_114696138 [Motiliproteus coralliicola]	group5
EGT79631 [Haemophilus haemolyticus M21621]	group3
WP_109678473 [Spiribacter sp. E85]	group7
WP_028072819 [Solirubrobacterales bacterium URHD0059]	group3
WP_123236249 [Methylophilaceae bacterium]	group7
RZJ35729 [Flavobacterium sp.]	group6
PWA78172 [Artemisia annua]	group2
PHS73559 [Porticoccus sp.]	group3
WP_010323951 [Marinobacterium stanieri]	group3
OUW19529 [Opitutales bacterium TMED158]	group4
TCT15119 [Bibersteinia trehalosi]	group3
TVO65802 [Denitromonas halophilus]	group4
WP_038536492 [Bacillus sp. X1(2014)]	group4
RMD60987 [Planctomycetes bacterium]	group7
WP_093330444 [Thalassotalea agarivorans]	group7
WP_116640695 [Methylocystaceae bacterium]	group7
WP_036831688 [Photobacterium sanctipauli]	group4
WP_070064550 [Wolbachia pipientis]	group7
WP_020376549 [Sulfobacillus thermosulfidooxidans DSM 9293]	group6
RPF95763 [Rhizobiales bacterium TMED227]	group4
WP_068879067 [Phenylobacterium sp. CCH12-B4]	group5
XP_019182691 [Ipomoea nil]	group7
RMH39965 [Gammaproteobacteria bacterium]	group3
RLT94162 [Ketobacter sp.]	group2
RKV86750 [Bacteroidetes bacterium]	group1
WP_048695123 [Catenovulum maritimum]	group5
WP_065239006 [Gallibacterium genomosp. 3]	group1
WP_129970156 [Pusillimonas soli]	group4
WP_011985057 [Anaeromyxobacter sp. Fw109-5]	group5
KWW36476 [Cupriavidus metallidurans]	group3
WP_038608576 [Pseudomonas alkylphenolica]	group4
WP_095610751 [Tamilnaduibacter salinus]	group4
WP_124211619 [Vespertiliibacter pulmonis]	group4
WP_044349723 [Dethiosulfatarculus sandiegensis]	group7
OYV70608 [Deltaproteobacteria bacterium 21-66-5]	group2
WP_044023146 [Bacillus sp. SG-1]	group4
PCJ19023 [Gammaproteobacteria bacterium]	group3
WP_006942648 [Megasphaera micronuciformis F0359]	group6
ASM72236 [Sulfitobacter pseudonitzschiae]	group6
WP_109252541 [Marinicauda sp. WD6-1]	group5
WP_088914428 [Porphyrobacter sp. CACIAM 03H1]	group2
WP_006974130 [Plesiocystis pacifica SIR-1]	group5
WP_086181774 [Acinetobacter sp. ANC 4558]	group3
WP_013664424 [Sphingobacterium sp. 21]	group6
WP_090874960 [Bauldia litoralis]	group6
WP_008735986 [Alcanivorax pacificus W11-5]	group7
VTN06021 [Raoultella ornithinolytica]	group1
WP_112536428 [Rhizobiales bacterium]	group6
WP_031255050 [Curvibacter lanceolatus]	group4
OUW05066 [Betaproteobacteria bacterium TMED156]	group4
WP_071628883 [Francisella sp. PA05-1188]	group7
WP_087107025 [Parendozoicomonas haliclonae]	group3
OGV48321 [Legionellales bacterium RIFCSPHIGHO2_12_FULL_42_9]	group5
OQX91239 [Candidatus Coatesbacteria bacterium 4484_99]	group5
RJQ32940 [Peptococcaceae bacterium]	group1
WP_009348291 [Alloprevotella rava F0323]	group1
WP_043379107 [Methylobacterium sp. UNCCL125]	group5
WP_062202690 [Aureimonas sp. AU12]	group4
WP_028392080 [Bacillus cihuensis]	group4
PHR16402 [Sphingopyxis sp.]	group6
CDF98114 [Avibacterium paragallinarum JF4211]	group6
PHR46357 [Fluviicola sp.]	group6
RAV60900 [Aerococcus urinae]	group6
WP_124930833 [Alloprevotella sp. OH1205_COT-284]	group1
WP_118996127 [Pusillimonas caeni]	group3
WP_122465736 [Brevundimonas sp. NS26]	group7
WP_020084421 [Hyphomicrobium zavarzinii]	group4
PUA26496 [Cellvibrio sp. 79]	group1
WP_055731534 [Agarivorans gilvus]	group7
RJX32633 [Oxalobacter sp.]	group4
WP_075433374 [Buchnera aphidicola (Diuraphis noxia)]	group3
WP_119885325 [Paracoccus aestuarii]	group5
GAK50475 [Candidatus Moduliflexus flocculans]	group5
GBC99372 [bacterium HR17]	group4
AHN97770 [uncultured bacterium lac82]	group2
WP_011480333 [Methylobacillus flagellatus KT]	group2
WP_084695834 [Arenimonas donghaensis]	group3
WP_118193468 [Pedobacter sp. SM1810]	group1
WP_007553348 [Bartonella sp. DB5-6]	group6
WP_125353745 [Enterobacteriaceae bacterium CCUG 66741]	group3
WP_014267082 [Granulicella mallensis MP5ACTX8]	group1
WP_084151554 [Thiomicrorhabdus sp. Milos-T2]	group1
PIE83321 [Candidatus Contendobacter odensis]	group7
WP_088920938 [Granulosicoccus antarcticus IMCC3135]	group1
WP_025820644 [Shewanella marina]	group2
WP_025437419 [Komagataeibacter xylinus E25]	group3
WP_131616163 [Roseitalea porphyridii]	group4
WP_081112646 [Ehrlichia ruminantium]	group3
RLA13199 [Gammaproteobacteria bacterium]	group6
KPQ06551 [Rhodobacteraceae bacterium HLUCCA12]	group5
RZK47217 [Hymenobacter sp.]	group4
WP_107177343 [Acidovorax avenae subsp. avenae]	group1
TNC86457 [Oleibacter sp.]	group4
WP_077807843 [Neoasaia chiangmaiensis]	group1
WP_109532298 [Pararhodobacter sp. CIC4N-9]	group2
WP_086744071 [Pseudoalteromonas ulvae]	group3
WP_015258618 [Thioalkalivibrio nitratireducens DSM 14787]	group2
AEJ38817 [Sulfobacillus acidophilus DSM 10332]	group5
WP_028582468 [Desulfobulbus japonicus]	group5
WP_008989938 [Galbibacter marinus]	group4
TDJ17603 [Gammaproteobacteria bacterium]	group7
TFH47477 [Xanthomonadales bacterium]	group7
PYU04573 [Acidobacteria bacterium]	group6
WP_135072567 [Algoriphagus sp. XY-J91]	group1
WP_110075994 [Idiomarina tainanensis]	group2
WP_132958879 [Rhizobium sp. BK251]	group1
WP_113289551 [Rhodosalinus sp. E84]	group1
WP_029140451 [Citromicrobium sp. JL2201]	group6
WP_136415301 [Muribaculum sp. H5]	group4
OZB06489 [Idiomarina sp. 34-48-12]	group1
PSQ94178 [Bacteroidetes bacterium SW_7_64_58]	group6
WP_058574313 [Halothiobacillus sp. WRN-7]	group3
WP_012765757 [Desulfovibrio salexigens DSM 2638]	group1
WP_116887819 [Pseudomonas parafulva]	group4
RVD19850 [Mesorhizobium sp. M4B.F.Ca.ET.017.02.2.1]	group2
WP_126770443 [Idiomarina homiensis]	group5
WP_029888832 [Polycyclovorans algicola]	group5
WP_072560518 [Sphingopyxis sp. LPB0140]	group6
RYG12701 [Chitinophagaceae bacterium]	group1
WP_028032941 [Chelativorans sp. J32]	group5
WP_135801700 [Marinobacter confluentis]	group2
RNC73306 [Desulfuromonadales bacterium]	group6
WP_041972430 [Geobacter sp. OR-1]	group5
WP_028685992 [Phaseolibacter flectens]	group4
WP_114098302 [Thalassospira profundimaris]	group5
WP_007347147 [Bartonella rattimassiliensis 15908]	group5
WP_057637906 [Stenotrophomonas ginsengisoli]	group4
WP_018413966 [Candidatus Pelagibacter ubique]	group7
WP_055148719 [Jiulongibacter sediminis]	group3
WP_061948603 [Bacillus trypoxylicola]	group2
EIL95933 [Rhodanobacter sp. 115]	group5
RZO53283 [Verrucomicrobia subdivision 3 bacterium]	group2
WP_076575527 [Aeromonas sp. RU39B]	group7
WP_099026172 [Parasaccharibacter apium]	group5
WP_119768333 [Herbaspirillum sp. K1R23-30]	group2
RUM36031 [Desulfobulbus sp.]	group3
RME70366 [Planctomycetes bacterium]	group3
WP_013778594 [Tepidanaerobacter acetatoxydans Re1]	group2
WP_009470850 [gamma proteobacterium HIMB55]	group4
KXK19149 [Bacteroidetes bacterium OLB8]	group6
KPK19064 [Betaproteobacteria bacterium SG8_41]	group7
WP_033078359 [Thalassotalea sp. ND16A]	group1
WP_125481849 [Bacillus subterraneus]	group2
WP_082630999 [Idiomarinaceae bacterium HL-53]	group4
WP_015389656 [Candidatus Kinetoplastibacterium galatii TCC219]	group2
OUU30120 [Candidatus Endolissoclinum sp. TMED37]	group2
WP_121997116 [Rhodobacteraceae bacterium EL53]	group5
WP_107967283 [Sphingomonas oleivorans]	group4
WP_142489074 [Leclercia adecarboxylata]	group3
WP_002440214 [Shimwellia blattae]	group7
TMI94337 [Bacteroidetes bacterium]	group3
RPG84511 [Cellvibrionales bacterium TMED47]	group5
WP_026758807 [Sediminimonas qiaohouensis]	group2
TNF80265 [Acidobacteria bacterium]	group6
WP_105012358 [Salinibacter sp. 10B]	group6
WP_114340827 [Rhodanobacter denitrificans]	group5
QCI19907 [Buchnera aphidicola (Brevicoryne brassicae)]	group4
RKX67850 [candidate division TA06 bacterium]	group7
RLA54965 [Gammaproteobacteria bacterium]	group5
WP_098020864 [Orrella dioscoreae]	group6
WP_130153708 [Candidatus Finniella inopinata]	group3
PHS22480 [Robiginitomaculum sp.]	group3
RQP20345 [Ochrobactrum intermedium]	group4
WP_066883630 [Dechloromonas denitrificans]	group1
SDO66578 [Sulfitobacter litoralis]	group2
WP_013147341 [Methylotenera versatilis 301]	group5
WP_101776066 [Pasteurella oralis]	group7
WP_093075605 [Variovorax sp. OV084]	group3
TRZ82985 [Sediminibacterium sp.]	group7
WP_082164442 [Dakarella massiliensis]	group6
WP_131905256 [Cocleimonas flava]	group2
WP_123489230 [Granulicella sp. GAS466]	group6
WP_128182175 [Sinirhodobacter sp. 24D10-4-9]	group3
OYZ27359 [Hydrogenophilales bacterium 16-64-40]	group6
WP_132273273 [Neorhizobium sp. JUb45]	group3
PZP86707 [Azospirillum brasilense]	group2
ALP53396 [Candidatus Tenderia electrophaga]	group2
OYV97440 [Deltaproteobacteria bacterium 37-65-8]	group2
WP_012905434 [Citrobacter rodentium]	group2
WP_036234436 [Methylibium sp. T29-B]	group2
WP_051555136 [Legionella fairfieldensis]	group6
WP_068808211 [Immundisolibacter cernigliae]	group5
PYX29714 [Acidobacteria bacterium]	group3
WP_055829172 [Brevundimonas sp. Root608]	group6
RLA07436 [Gammaproteobacteria bacterium]	group6
WP_107046369 [Riemerella anatipestifer]	group3
WP_102230811 [Bacillus sp. UMB0899]	group3
WP_075482433 [Candidatus Pelagibacter ubique]	group5
WP_076446657 [Roseivivax lentus]	group7
WP_043317927 [Microbulbifer sp. HZ11]	group3
WP_007362280 [Opitutaceae bacterium TAV1]	group5
WP_114789765 [Niabella yanshanensis]	group1
WP_006301313 [Aminomonas paucivorans DSM 12260]	group3
EJW12963 [Rhodovulum sp. PH10]	group2
OGP50362 [Deltaproteobacteria bacterium RBG_13_43_22]	group1
WP_054650747 [Desulfovibrio brasiliensis]	group7
RKY38876 [Candidatus Omnitrophica bacterium]	group5
PPC94419 [Methylotenera sp.]	group7
RPI77245 [Desulfobacteraceae bacterium]	group7
OGU21287 [Hydrogenophilales bacterium RIFOXYD1_FULL_62_11]	group4
WP_075754620 [Sporomusa sphaeroides DSM 2875]	group1
PVW87386 [Klebsiella pneumoniae]	group3
OGA17431 [Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_66_14]	group1
PYV88374 [Acidobacteria bacterium]	group7
WP_117371797 [Shinella sp. WSJ-2]	group5
WP_114484026 [Extensimonas vulgaris]	group2
PIE17200 [Proteobacteria bacterium]	group3
WP_141383561 [Nitrobacter winogradskyi]	group2
WP_120993962 [Pseudomonas sp. T3]	group4
GAM57004 [Vibrio ishigakensis]	group6
PKP22941 [Bacteroidetes bacterium HGW-Bacteroidetes-21]	group4
WP_090119096 [Lutibacter oricola]	group2
WP_109368885 [Ochrobactrum haematophilum]	group1
WP_092614974 [Roseospirillum parvum]	group6
WP_109997307 [Candidatus Cardinium hertigii]	group1
WP_108649185 [Gammaproteobacteria bacterium DM2]	group1
QDP00289 [Thalassotalea sp. PS06]	group4
WP_126316042 [Cardiobacterium hominis]	group7
OGA38582 [Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_19]	group1
WP_128897182 [Dyella sp. M7H15-1]	group1
WP_015327600 [Halobacteroides halobius DSM 5150]	group4
WP_051928813 [Thermopetrobacter sp. TC1]	group6
SMX28718 [Tropicibacter phthalicicus]	group7
WP_106874224 [Candidatus Phycorickettsia trachydisci]	group3
WP_115218670 [Suttonella indologenes]	group4
WP_140808892 [Mesorhizobium sp. B2-7-1]	group2
RCL67789 [Rhodothermaceae bacterium TMED105]	group2
WP_102090794 [Psychrobacter sp. 4Bb]	group2
WP_072427228 [Chitinimonas taiwanensis DSM 18899]	group6
WP_108049588 [Bosea sp. 124]	group4
PYR76476 [Acidobacteria bacterium]	group1
RKY12036 [Planctomycetes bacterium]	group1
KUJ89549 [Halomonas sp. 54_146]	group2
WP_142828926 [Rhizobium sp. rho-1.1]	group5
WP_102471691 [Vibrio sp. 10N.286.48.B7]	group5
ELU03841 [Capitella teleta]	group6
WP_141147546 [Martelella sp. BGMRC2036]	group7
PPC90748 [Methylomonas sp.]	group1
WP_070123318 [Alteromonas confluentis]	group3
WP_138854508 [Flavobacteriaceae bacterium F202Z8]	group1
RIK78204 [candidate division KSB1 bacterium]	group5
RJR20440 [Desulfobacteraceae bacterium]	group2
WP_111872715 [Aeromonas]	group6
RLD72636 [Bacteroidetes bacterium]	group4
WP_108646354 [Polynucleobacter rarus]	group4
OZA95783 [Thiotrichales bacterium 34-46-19]	group1
WP_081938059 [Leptospirillum ferriphilum]	group2
WP_135525673 [Flavobacterium sp. DS2-A]	group3
TSE28097 [Tepidimonas thermarum]	group5
PYT40787 [Acidobacteria bacterium]	group3
WP_035257125 [Actibacterium mucosum KCTC 23349]	group4
KPQ12832 [Algoriphagus marincola HL-49]	group6
KUK22531 [Thermotoga naphthophila]	group4
WP_021269730 [Bacteriovorax sp. BSW11_IV]	group1
OIO61257 [Alphaproteobacteria bacterium CG_4_10_14_0_2_um_filter_63_37]	group5
WP_110019562 [Plasticicumulans acidivorans]	group7
OJX04292 [Caedibacter sp. 38-128]	group2
OGC42432 [candidate division WOR-3 bacterium RBG_13_43_14]	group1
WP_077450506 [Psychrobacter piechaudii]	group6
WP_116687312 [Pelagibaculum spongiae]	group3
EYR78834 [Shinella sp. DD12]	group4
RLT08289 [Planctomycetia bacterium]	group3
WP_009602828 [Vibrio caribbeanicus ATCC BAA-2122]	group2
PSQ81388 [Bacteroidetes bacterium QS_8_68_15]	group2
RZI83490 [Rubrivivax sp.]	group6
WP_034336078 [Commensalibacter sp. MX01]	group4
WP_007069115 [Dialister invisus DSM 15470]	group4
OGU05615 [Geobacteraceae bacterium GWC2_58_44]	group7
PDH35282 [OM182 bacterium MED-G28]	group2
WP_090248492 [Lishizhenia tianjinensis]	group1
RYD52812 [Sphingobacteriales bacterium]	group3
RLB08830 [Deltaproteobacteria bacterium]	group6
RZL96560 [Variovorax sp.]	group5
WP_094236200 [Tumebacillus algifaecis]	group4
OFW99817 [Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_12]	group1
WP_072711849 [Francisella sp. TX077310]	group7
PYX79369 [Acidobacteria bacterium]	group6
OUT51446 [Rhodospirillaceae bacterium TMED8]	group1
GBD33165 [bacterium HR33]	group2
WP_014782105 [Aequorivita sublithincola DSM 14238]	group7
WP_117011665 [Duganella sp. BJB480]	group2
PLY06812 [Desulfuromonas sp.]	group1
PCI63572 [Gammaproteobacteria bacterium]	group3
WP_046109225 [Devosia geojensis]	group4
WP_014778590 [Thiocystis violascens DSM 198]	group3
