Sequence_ID	Param_1	Param2
gi|383860909|ref|XP_003705930.1|(286-406:407) PREDICTED: protein cereblon-like [Megachile rotundata] ((#4 <= #0))   E=1e-28 s/c=1.06 id=27% cov=72%	96	0.2562103530774764
gi|157108632|ref|XP_001650320.1|(247-361:460) hypothetical protein AaeL_AAEL005081 [Aedes aegypti]   gi|108879285|gb|EAT43510.1| conserved hypothetical protein 	138	0.10758371367226105
gi|157108634|ref|XP_001650321.1|(295-427:442) hypothetical protein AaeL_AAEL005058 [Aedes aegypti]   gi|108879286|gb|EAT43511.1| AAEL005058-PA [Aedes aegypti] (	384	0.12301858088209483
gi|158287039|ref|XP_309090.4|(346-509:512) AGAP005299-PA [Anopheles gambiae str. PEST]   gi|157019823|gb|EAA04790.4| AGAP005299-PA [Anopheles gambiae str. PEST]	392	0.11082919080428721
gi|193697835|ref|XP_001945575.1| PREDICTED: protein cereblon-like [Acyrthosipho ((seed: #1 <= #0))	184	0.017731330064445605
gi|170035122|ref|XP_001845420.1|(347-464:557) conserved hypothetical protein [Culex quinquefasciatus]   gi|167876972|gb|EDS40355.1| conserved hypothetical prote	461	0.8400708825605125
gi|194742249|ref|XP_001953618.1|(382-508:520) GF17853 [Drosophila ananassae]   gi|294956488|sp|B3M1F2.1|CRBN_DROAN RecName: Full=Protein cereblon homolog   gi|1	734	0.8306319658672182
gi|195054204|ref|XP_001994016.1|(533-649:671) GH22576 [Drosophila grimshawi]   gi|294956490|sp|B4JSL2.1|CRBN_DROGR RecName: Full=Protein cereblon homolog   gi|1	487	0.19946705526344788
gi|167395029|ref|XP_001741193.1|(266-378:379) hypothetical protein [Entamoeba dispar SAW760]   gi|165894320|gb|EDR22353.1| hypothetical protein EDI_335090 [Enta	183	0.1869995050990182
gi|302834545|ref|XP_002948835.1|(426-561:594) hypothetical protein VOLCADRAFT_89116 [Volvox carteri f. nagariensis]   gi|300266026|gb|EFJ50215.1| hypothetical p	941	0.1916291227050949
gi|341884177|gb|EGT40112.1|(267-383:402) hypothetical protein CAEBREN_04514 [Caenorhabditis brenneri] ((#0))   E=5e-21 s/c=0.89 id=30% cov=92%	779	0.5614547442438398
gi|308477043|ref|XP_003100736.1|(224-377:391) hypothetical protein CRE_15495 [Caenorhabditis remanei]   gi|308264548|gb|EFP08501.1| hypothetical protein CRE_154	103	0.23731005559899798
gi|71992013|ref|NP_502300.2|(252-388:414) Protein M18.6 [Caenorhabditis elegans]   gi|34555783|emb|CAA92828.2| Protein M18.6 [Caenorhabditis elegans] ((#2 <= #0	936	0.8970824009784322
gi|224369546|ref|YP_002603710.1|(44-151:152) hypothetical protein [Desulfobacterium autotrophicum HRM2]   gi|223692263|gb|ACN15546.1| hypothetical protein HRM2_	180	0.6279234517367954
gi|320354665|ref|YP_004196004.1|(34-144:145) hypothetical protein Despr_2577 [Desulfobulbus propionicus DSM 2032]   gi|320123167|gb|ADW18713.1| hypothetical pro	354	0.7403413815405118
gi|156389263|ref|XP_001634911.1|(19-181:182) predicted protein [Nematostella vectensis]   gi|156221999|gb|EDO42848.1| predicted protein [Nematostella vectensis]	28	0.26495275573249266
gi|376296879|ref|YP_005168109.1|(26-147:149) hypothetical protein DND132_2101 [Desulfovibrio desulfuricans ND132]   gi|323459441|gb|EGB15306.1| hypothetical pro	354	0.2053615315297017
gi|268578087|ref|XP_002644026.1|(21-152:222) Hypothetical protein CBG17431 [Caenorhabditis briggsae] ((#0))   E=2e-11 s/c=0.55 id=34% cov=87%	10	0.9331853084873633
gi|317151780|ref|YP_004119828.1|(48-151:153) hypothetical protein Daes_0053 [Desulfovibrio aespoeensis Aspo-2]   gi|316942031|gb|ADU61082.1| hypothetical protei	529	0.23222924625918362
gi|167538387|ref|XP_001750858.1| hypothetical protein [Monosiga brevicollis MX1 ((seed: #8 <= #0))	67	0.672968225823164
gi|239907062|ref|YP_002953803.1|(34-149:157) hypothetical protein DMR_24260 [Desulfovibrio magneticus RS-1]   gi|239796928|dbj|BAH75917.1| hypothetical protein 	390	0.43857637336732824
gi|242554334|gb|ACS93500.1|(20-171:171) 17 kDa salivary protein [Phlebotomus arabicus] ((#9 <= #0))   E=4e-49 s/c=1.30 id=60% cov=92%	64	0.6886258569260024
gi|308494999|ref|XP_003109688.1|(21-153:155) hypothetical protein CRE_07466 [Caenorhabditis remanei]   gi|308245878|gb|EFO89830.1| hypothetical protein CRE_0746	347	0.9097468023088654
gi|303247292|ref|ZP_07333566.1|(40-154:155) conserved hypothetical protein [Desulfovibrio fructosovorans JJ]   gi|302491451|gb|EFL51339.1| conserved hypothetica	653	0.16510378613865984
gi|190194301|ref|NP_001121712.1|(22-165:166) uncharacterized protein LOC558400 precursor [Danio rerio]   gi|169153856|emb|CAQ15209.1| novel protein [Danio rerio	899	0.6491085042670888
gi|386826251|ref|ZP_10113358.1|(24-133:136) hypothetical protein BegalDRAFT_0036 [Beggiatoa alba B18LD]   gi|386427135|gb|EIJ40963.1| hypothetical protein Begal	536	0.6781228241095398
gi|170587008|ref|XP_001898271.1| hypothetical protein Bm1_34115 [Brugia malayi] ((seed: #4 <= #0))	448	0.8363207721574509
gi|340059481|emb|CCC53866.1|(6-142:335) conserved hypothetical protein [Trypanosoma vivax Y486] ((#10 <= #0))   E=2e-49 s/c=1.45 id=57% cov=88%	645	0.7952792344746781
gi|261335291|emb|CBH18285.1| hypothetical protein, conserved [Trypanosoma bruce ((seed: #10 <= #0))	300	0.3929204982949538
gi|395516512|ref|XP_003762431.1|(357-485:485) PREDICTED: protein cereblon [Sarcophilus harrisii] ((#0))   E=1e-51 s/c=1.59 id=88% cov=101%	442	0.6795019584188873
gi|390346075|ref|XP_001191267.2|(252-392:392) PREDICTED: protein cereblon-like [Strongylocentrotus purpuratus] ((#2 <= #0))   E=1e-13 s/c=0.57 id=34% cov=86%	73	0.6205875662657186
gi|260804829|ref|XP_002597290.1|(305-423:431) hypothetical protein BRAFLDRAFT_203599 [Branchiostoma floridae]   gi|229282553|gb|EEN53302.1| hypothetical protein	867	0.4299507425624054
gi|212721828|ref|NP_001132097.1|(448-564:564) uncharacterized protein LOC100193513 [Zea mays]   gi|194693414|gb|ACF80791.1| unknown [Zea mays] ((#0))  E=8e-46 s	366	0.7970636844496861
gi|321459753|gb|EFX70803.1|(333-449:455) hypothetical protein DAPPUDRAFT_112386 [Daphnia pulex] ((#0))   E=6e-45 s/c=1.56 id=45% cov=92%	122	0.3381948548449133
gi|296081564|emb|CBI20569.3|(437-548:548) unnamed protein product [Vitis vinifera] ((#0))   E=2e-44 s/c=1.62 id=46% cov=88%	959	0.42140630726315875
gi|356510047|ref|XP_003523752.1|(429-541:543) PREDICTED: protein cereblon-like [Glycine max] ((#0))   E=1e-43 s/c=1.58 id=45% cov=89%	194	0.14465191180479198
gi|357436307|ref|XP_003588429.1|(445-556:556) Protein cereblon [Medicago truncatula]   gi|355477477|gb|AES58680.1| Protein cereblon [Medicago truncatula] ((#0))	0	0.29177751167496413
gi|3643608|gb|AAC42255.1|(791-902:902) hypothetical protein [Arabidopsis thaliana]   gi|20197510|gb|AAM15102.1| hypothetical protein [Arabidopsis thaliana] ((#0	355	0.9766006002518532
gi|196000953|ref|XP_002110344.1|(326-441:441) hypothetical protein TRIADDRAFT_22188 [Trichoplax adhaerens]   gi|190586295|gb|EDV26348.1| hypothetical protein TR	779	0.5577506356022564
gi|357626135|gb|EHJ76333.1|(286-395:425) putative cereblon [Danaus plexippus] ((#0))   E=3e-40 s/c=1.52 id=44% cov=87%	758	0.48058032248495597
gi|242015456|ref|XP_002428369.1|(300-407:419) conserved hypothetical protein [Pediculus humanus corporis]   gi|212512981|gb|EEB15631.1| conserved hypothetical p	784	0.9600757261072411
gi|324505246|gb|ADY42257.1|(267-392:403) Protein cereblon [Ascaris suum] ((#6 <= #0))   E=4e-38 s/c=1.27 id=27% cov=97%	816	0.23997239759708733
gi|91087901|ref|XP_970608.1|(296-411:412) PREDICTED: similar to cereblon [Tribolium castaneum]   gi|270012017|gb|EFA08465.1| hypothetical protein TcasGA2_TC0061	68	0.0682762443243774
gi|168046713|ref|XP_001775817.1|(371-483:487) predicted protein [Physcomitrella patens subsp. patens]   gi|162672824|gb|EDQ59356.1| predicted protein [Physcomit	193	0.06367640121799978
gi|326502786|dbj|BAJ99021.1|(421-539:542) predicted protein [Hordeum vulgare subsp. vulgare] ((#0))   E=2e-36 s/c=1.29 id=37% cov=92%	129	0.9948119175281334
gi|172087164|ref|XP_001913124.1|(319-453:469) similar to x0001 [Oikopleura dioica]   gi|18029235|gb|AAL56423.1|AF374375_5 similar to x0001 [Oikopleura dioica] (	856	0.3678441661491729
gi|218189034|gb|EEC71461.1|(427-535:535) hypothetical protein OsI_03699 [Oryza sativa Indica Group] ((#0))   E=7e-34 s/c=1.34 id=38% cov=86%	336	0.4958126875922301
gi|168049138|ref|XP_001777021.1|(556-724:727) predicted protein [Physcomitrella patens subsp. patens]   gi|162671586|gb|EDQ58135.1| predicted protein [Physcomit	804	0.06835192193749295
gi|193659760|ref|XP_001947686.1|(297-420:435) PREDICTED: protein cereblon-like [Acyrthosiphon pisum] ((#0))   E=4e-32 s/c=1.13 id=32% cov=94%	906	0.11199474916237961
gi|384246473|gb|EIE19963.1|(289-408:412) hypothetical protein COCSUDRAFT_58199 [Coccomyxa subellipsoidea C-169] ((#6 <= #0))  E=2e-06 s/c=0.46 id=36% cov=89%	922	0.3816875222294628
gi|170035120|ref|XP_001845419.1|(153-277:282) conserved hypothetical protein [Culex quinquefasciatus]   gi|167876971|gb|EDS40354.1| conserved hypothetical prote	723	0.4846693254263812
gi|255079226|ref|XP_002503193.1|(288-424:515) predicted protein [Micromonas sp. RCC299]   gi|226518459|gb|ACO64451.1| predicted protein [Micromonas sp. RCC299] 	242	0.13820092995902322
gi|312378994|gb|EFR25413.1|(263-392:739) hypothetical protein AND_09273 [Anopheles darlingi] ((#3 <= #0))   E=3e-31 s/c=1.05 id=31% cov=81%	976	0.5896222115364659
gi|299116408|emb|CBN74673.1|(389-500:593) conserved unknown protein [Ectocarpus siliculosus] ((#1 <= #0))   E=4e-35 s/c=1.34 id=37% cov=81%	63	0.3614565687790384
gi|348671104|gb|EGZ10925.1|(190-355:366) hypothetical protein PHYSODRAFT_520825 [Phytophthora sojae] ((#2 <= #0))   E=2e-38 s/c=0.97 id=29% cov=81%	169	0.6542484267629225
gi|326436511|gb|EGD82081.1|(279-406:502) hypothetical protein PTSG_02761 [Salpingoeca sp. ATCC 50818] ((#3 <= #0))   E=8e-31 s/c=1.06 id=35% cov=82%	362	0.8005117969070414
gi|219113479|ref|XP_002186323.1|(407-544:550) predicted protein [Phaeodactylum tricornutum CCAP 1055/1]   gi|209583173|gb|ACI65793.1| predicted protein [Phaeoda	238	0.7109987334326079
gi|144897803|emb|CAM74667.1|(20-124:124) cereblon isoform 4 [Magnetospirillum gryphiswaldense MSR-1] ((#0))   E=4e-28 s/c=1.21 id=35% cov=83%	141	0.6222170726675191
gi|268536660|ref|XP_002633465.1|(249-385:399) Hypothetical protein CBG06233 [Caenorhabditis briggsae] ((#2 <= #0))   E=8e-47 s/c=1.37 id=72% cov=88%	905	0.04328586253806721
gi|258404839|ref|YP_003197581.1|(51-156:157) hypothetical protein Dret_0711 [Desulfohalobium retbaense DSM 5692]   gi|257797066|gb|ACV68003.1| hypothetical prot	508	0.5573534753618191
gi|158520641|ref|YP_001528511.1|(51-158:159) hypothetical protein Dole_0624 [Desulfococcus oleovorans Hxd3]   gi|158509467|gb|ABW66434.1| hypothetical protein D	619	0.5173466753191923
gi|298530021|ref|ZP_07017423.1|(16-135:135) conserved hypothetical protein [Desulfonatronospira thiodismutans ASO3-1]   gi|298509395|gb|EFI33299.1| conserved hy	736	0.18415453859827058
gi|374301386|ref|YP_005053025.1|(37-149:149) hypothetical protein [Desulfovibrio africanus str. Walvis Bay]   gi|332554322|gb|EGJ51366.1| hypothetical protein D	830	0.5669022008119455
gi|242279995|ref|YP_002992124.1|(28-136:136) hypothetical protein Desal_2529 [Desulfovibrio salexigens DSM 2638]   gi|242122889|gb|ACS80585.1| hypothetical prot	102	0.3642473208847433
gi|325185287|emb|CCA19775.1|(723-841:845) myblike DNAbinding protein putative [Albugo laibachii Nc14] ((#3 <= #0))   E=4e-29 s/c=1.09 id=44% cov=82%	949	0.24905420867382533
gi|389581165|ref|ZP_10171192.1|(21-131:131) hypothetical protein DespoDRAFT_03242 [Desulfobacter postgatei 2ac9]   gi|389402800|gb|EIM65022.1| hypothetical prot	394	0.8605009142689365
gi|256830937|ref|YP_003159665.1|(26-133:134) hypothetical protein Dbac_3174 [Desulfomicrobium baculatum DSM 4028]   gi|256580113|gb|ACU91249.1| hypothetical pro	424	0.614659426574801
gi|83311575|ref|YP_421839.1|(10-125:128) hypothetical protein amb2476 [Magnetospirillum magneticum AMB-1]   gi|82946416|dbj|BAE51280.1| hypothetical protein [Ma	280	0.7039270407522481
gi|196010541|ref|XP_002115135.1|(27-150:184) hypothetical protein TRIADDRAFT_58968 [Trichoplax adhaerens]   gi|190582518|gb|EDV22591.1| hypothetical protein TRI	232	0.5492532240179342
gi|300122035|emb|CBK22609.2|(1-88:138) unnamed protein product [Blastocystis hominis] ((#9 <= #0))   E=4e-17 s/c=1.03 id=32% cov=54%	301	0.6486127615348057
gi|386287347|ref|ZP_10064520.1|(11-125:125) hypothetical protein DOK_08049 [gamma proteobacterium BDW918]   gi|385279479|gb|EIF43418.1| hypothetical protein DOK	789	0.15484126944529697
gi|357608700|gb|EHJ66103.1|(31-158:160) hypothetical protein KGM_13759 [Danaus plexippus] ((#9 <= #0))   E=6e-39 s/c=1.27 id=41% cov=80%	22	0.07291977621897983
gi|348514097|ref|XP_003444577.1|(52-194:196) PREDICTED: hypothetical protein LOC100693962 [Oreochromis niloticus] ((#9 <= #0))  E=8e-39 s/c=1.13 id=37% cov=86%	797	0.22468083389262805
gi|193713852|ref|XP_001947921.1|(34-174:182) PREDICTED: protein cereblon homolog [Acyrthosiphon pisum] ((#9 <= #0))   E=7e-42 s/c=1.22 id=42% cov=88%	534	0.6276277331455548
gi|341903503|gb|EGT59438.1|(21-155:157) hypothetical protein CAEBREN_04265 [Caenorhabditis brenneri] ((#9 <= #0))   E=2e-37 s/c=1.17 id=31% cov=83%	84	0.5248643319859401
gi|262199683|ref|YP_003270892.1| hypothetical protein [Haliangium ochraceum DSM ((seed: #6 <= #0))	793	0.39465701614735427
gi|392410771|ref|YP_006447378.1| hypothetical protein Desti_2432 [Desulfomonile ((seed: #5 <= #0))	261	0.42134988840387877
gi|393911965|gb|EFO23004.2|(21-148:148) hypothetical protein LOAG_05483 [Loa loa]   gi|393911966|gb|EJD76529.1| hypothetical protein, variant [Loa loa] ((#9 <= 	850	0.08593135056239765
gi|390337279|ref|XP_784157.3|(21-184:186) PREDICTED: protein cereblon homolog [Strongylocentrotus purpuratus] ((#9 <= #0))   E=4e-40 s/c=1.02 id=33% cov=87%	945	0.801619483366783
gi|198426457|ref|XP_002127651.1|(23-168:169) PREDICTED: similar to predicted protein [Ciona intestinalis] ((#9 <= #0))   E=3e-36 s/c=1.05 id=32% cov=86%	282	0.7857083943180688
gi|260788081|ref|XP_002589079.1|(10-152:153) hypothetical protein BRAFLDRAFT_213715 [Branchiostoma floridae]   gi|229274253|gb|EEN45090.1| hypothetical protein 	518	0.6562250351230998
gi|170059958|ref|XP_001865589.1|(43-190:190) conserved hypothetical protein [Culex quinquefasciatus]   gi|167878534|gb|EDS41917.1| conserved hypothetical protei	707	0.7436680268641566
gi|321465278|gb|EFX76280.1|(50-202:202) hypothetical protein DAPPUDRAFT_214055 [Daphnia pulex] ((#9 <= #0))   E=2e-33 s/c=0.94 id=38% cov=89%	927	0.2593012104154736
gi|196002013|ref|XP_002110874.1|(271-338:367) hypothetical protein TRIADDRAFT_54241 [Trichoplax adhaerens]   gi|190586825|gb|EDV26878.1| hypothetical protein TR	354	0.2499937769549586
gi|343475663|emb|CCD12998.1|(22-147:190) unnamed protein product, partial [Trypanosoma congolense IL3000] ((#10 <= #0))   E=2e-32 s/c=1.12 id=60% cov=76%	480	0.43268590706106924
gi|239907063|ref|YP_002953804.1|(62-168:170) hypothetical protein DMR_24270 [Desulfovibrio magneticus RS-1]   gi|239796929|dbj|BAH75918.1| hypothetical protein 	898	0.2568556094199589
gi|303247294|ref|ZP_07333568.1|(46-155:156) conserved hypothetical protein [Desulfovibrio fructosovorans JJ]   gi|302491453|gb|EFL51341.1| conserved hypothetica	608	0.22382180439724397
gi|386392225|ref|ZP_10077006.1|(39-151:152) hypothetical protein DesU5LDRAFT_1620 [Desulfovibrio sp. U5L]   gi|385733103|gb|EIG53301.1| hypothetical protein Des	531	0.586599861084427
gi|327266136|ref|XP_003217862.1|(302-426:447) PREDICTED: protein cereblon-like [Anolis carolinensis] ((#1 <= #0))   E=9e-14 s/c=0.64 id=38% cov=91%	433	0.8836375561029823
gi|67484620|ref|XP_657530.1|(287-414:414) hypothetical protein [Entamoeba histolytica HM-1:IMSS]   gi|56474788|gb|EAL52145.1| hypothetical protein, conserved [E	98	0.3437759573609045
gi|313233354|emb|CBY24468.1|(14-102:105) unnamed protein product [Oikopleura dioica] ((#3 <= #0))   E=1e-20 s/c=1.13 id=34% cov=60%	340	0.4744751918270088
gi|256053106|ref|XP_002570048.1|(466-575:587) hypothetical protein [Schistosoma mansoni]   gi|353229227|emb|CCD75398.1| hypothetical protein Smp_094340 [Schisto	5	0.37716337435261504
gi|308812610|ref|XP_003083612.1|(78-210:264) unnamed protein product [Ostreococcus tauri]   gi|116055493|emb|CAL58161.1| unnamed protein product [Ostreococcus t	961	0.3707185387048919
gi|312074090|ref|XP_003139814.1|(290-412:433) hypothetical protein LOAG_04229 [Loa loa] ((#2 <= #0))   E=5e-13 s/c=0.63 id=33% cov=66%	588	0.873667028334232
gi|168023320|ref|XP_001764186.1|(358-454:461) predicted protein [Physcomitrella patens subsp. patens]   gi|162684626|gb|EDQ71027.1| predicted protein [Physcomit	452	0.07460777224006021
gi|168049618|ref|XP_001777259.1|(364-460:468) predicted protein [Physcomitrella patens subsp. patens]   gi|162671361|gb|EDQ57914.1| predicted protein [Physcomit	929	0.546290980072695
gi|195499669|ref|XP_002097048.1|(435-564:588) GE26004 [Drosophila yakuba]   gi|294956504|sp|B4PVI7.1|CRBN_DROYA RecName: Full=Protein cereblon homolog   gi|1941	198	0.8867440094630081
gi|23013328|ref|ZP_00053236.1| hypothetical protein Magn03007781 [Magnetospiril ((seed: #7 <= #0))	563	0.30016253751921507
gi|356518364|ref|XP_003527849.1|(241-360:363) PREDICTED: protein cereblon-like [Glycine max] ((#6 <= #0))   E=2e-34 s/c=1.23 id=31% cov=76%	541	0.7342959500376597
gi|303247293|ref|ZP_07333567.1|(35-141:144) hypothetical protein DesfrDRAFT_2042 [Desulfovibrio fructosovorans JJ]   gi|302491452|gb|EFL51340.1| hypothetical pr	850	0.18482038919605337
gi|348683830|gb|EGZ23645.1|(136-231:452) hypothetical protein PHYSODRAFT_324834 [Phytophthora sojae] ((#9 <= #0))   E=3e-21 s/c=1.08 id=22% cov=58%	670	0.22740487815424326
gi|212528782|ref|XP_002144548.1|(366-503:559) yippee family protein [Penicillium marneffei ATCC 18224]   gi|210073946|gb|EEA28033.1| yippee family protein [Peni	466	0.9923615939008928
gi|301107518|ref|XP_002902841.1| conserved hypothetical protein [Phytophthora i ((seed: #3 <= #0))	590	0.3639915486812938
gi|301114931|ref|XP_002999235.1| conserved hypothetical protein [Phytophthora i ((seed: #11 <= #0))	581	0.1394179041980227
gi|118783727|ref|XP_001230896.1|(31-181:181) AGAP004264-PA [Anopheles gambiae str. PEST]   gi|116129007|gb|EAU76985.1| AGAP004264-PA [Anopheles gambiae str. PES	398	0.6838129415008829
gi|378734194|gb|EHY60653.1|(94-213:334) peptidylprolyl isomerase [Exophiala dermatitidis NIH/UT8656] ((#27 <= #19 <= #3 <= #0))   E=7e-15 s/c=0.70 id=25% cov=85	528	0.3052948515038789
gi|320165626|gb|EFW42525.1|(122-233:233) yippee-like protein [Capsaspora owczarzaki ATCC 30864] ((#18 <= #3 <= #0))   E=7e-42 s/c=1.54 id=26% cov=84%	751	0.4917631377666125
gi|296828132|ref|XP_002851280.1|(30-157:206) yippee family protein [Arthroderma otae CBS 113480]   gi|238838834|gb|EEQ28496.1| yippee family protein [Arthroderm	953	0.5374002075730007
gi|345493840|ref|XP_003427162.1|(33-174:174) PREDICTED: hypothetical protein LOC100122846 [Nasonia vitripennis] ((#9 <= #0))   E=1e-40 s/c=1.18 id=42% cov=88%	60	0.9089581097336906
gi|322817647|gb|EFZ25311.1|(29-190:210) hypothetical protein TCSYLVIO_8528 [Trypanosoma cruzi] ((#9 <= #0))   E=1e-06 s/c=0.35 id=21% cov=84%	606	0.3276052101064133
gi|358256253|dbj|GAA57736.1|(1-128:136) protein yippee [Clonorchis sinensis] ((#18 <= #3 <= #0))   E=1e-05 s/c=0.41 id=34% cov=87%	930	0.9892047987429738
gi|67536738|ref|XP_662143.1|(17-117:119) hypothetical protein AN4539.2 [Aspergillus nidulans FGSC A4]   gi|40741692|gb|EAA60882.1| hypothetical protein AN4539.2	386	0.9372095593823848
gi|171676473|ref|XP_001903189.1|(52-184:249) hypothetical protein [Podospora anserina S mat+]   gi|170936303|emb|CAP60961.1| unnamed protein product [Podospora 	126	0.31940018784922986
gi|365990708|ref|XP_003672183.1|(90-187:194) hypothetical protein NDAI_0J00480 [Naumovozyma dairenensis CBS 421]   gi|343770958|emb|CCD26940.1| hypothetical pro	687	0.4258968523065435
gi|198418424|ref|XP_002120620.1|(13-121:131) PREDICTED: similar to yippee protein isoform 2 [Ciona intestinalis]   gi|198418426|ref|XP_002120539.1| PREDICTED: s	334	0.8430669692531033
gi|121715202|ref|XP_001275210.1|(22-160:235) Yippee putative zinc-binding protein [Aspergillus clavatus NRRL 1]   gi|119403367|gb|EAW13784.1| Yippee putative zi	800	0.8808215618068471
gi|226532038|ref|NP_001151836.1|(12-110:116) LOC100285471 [Zea mays]   gi|195650113|gb|ACG44524.1| protein yippee-like [Zea mays] ((#3 <= #0))  E=7e-13 s/c=0.77	733	0.3092013684377486
